"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2022"

"Vuosi";"Alue";"Ikä";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2022";"Juva";"4 vuotta";4
"2022";"Juva";"5 vuotta";1
"2022";"Juva";"6 vuotta";0
"2022";"Juva";"7 vuotta ja yli";0
"2022";"Jyväskylä";"Yhteensä";518
"2022";"Jyväskylä";"0 vuotta";0
"2022";"Jyväskylä";"1 vuotta";46
"2022";"Jyväskylä";"2 vuotta";76
"2022";"Jyväskylä";"3 vuotta";83
"2022";"Jyväskylä";"4 vuotta";94
"2022";"Jyväskylä";"5 vuotta";104
"2022";"Jyväskylä";"6 vuotta";114
"2022";"Jyväskylä";"7 vuotta ja yli";1
"2022";"Jämijärvi";"Yhteensä";2
"2022";"Jämijärvi";"0 vuotta";0
"2022";"Jämijärvi";"1 vuotta";1
"2022";"Jämijärvi";"2 vuotta";0
"2022";"Jämijärvi";"3 vuotta";0
"2022";"Jämijärvi";"4 vuotta";0
"2022";"Jämijärvi";"5 vuotta";1
"2022";"Jämijärvi";"6 vuotta";0
"2022";"Jämijärvi";"7 vuotta ja yli";0
"2022";"Jämsä";"Yhteensä";23
"2022";"Jämsä";"0 vuotta";1
"2022";"Jämsä";"1 vuotta";1
"2022";"Jämsä";"2 vuotta";4
"2022";"Jämsä";"3 vuotta";2
"2022";"Jämsä";"4 vuotta";4
"2022";"Jämsä";"5 vuotta";7
"2022";"Jämsä";"6 vuotta";4
"2022";"Jämsä";"7 vuotta ja yli";0
"2022";"Järvenpää";"Yhteensä";197
"2022";"Järvenpää";"0 vuotta";0
"2022";"Järvenpää";"1 vuotta";20
"2022";"Järvenpää";"2 vuotta";25
"2022";"Järvenpää";"3 vuotta";29
"2022";"Järvenpää";"4 vuotta";37
"2022";"Järvenpää";"5 vuotta";41
"2022";"Järvenpää";"6 vuotta";45
"2022";"Järvenpää";"7 vuotta ja yli";0
"2022";"Kaarina";"Yhteensä";130
"2022";"Kaarina";"0 vuotta";0
"2022";"Kaarina";"1 vuotta";10
"2022";"Kaarina";"2 vuotta";11
"2022";"Kaarina";"3 vuotta";23
"2022";"Kaarina";"4 vuotta";24
"2022";"Kaarina";"5 vuotta";31
"2022";"Kaarina";"6 vuotta";29
"2022";"Kaarina";"7 vuotta ja yli";2
"2022";"Kaavi";"Yhteensä";1
"2022";"Kaavi";"0 vuotta";0
